"tipo";"razon_social";"toneladas";"pct_acum"
"Generador Industrial";"CAMBIASO HNOS S A C";650,24;28,6934726585943
"Generador Industrial";"KIMBERLY-CLARK CHILE S.A.";403,74;17,8160412327461
"Generador Industrial";"EMBOTELLADORAS CHILENAS UNIDAS S.A";281,5;12,421894305786
"Generador Industrial";"DBATTISTA Y COMPANIA LIMITADA";268,24;11,8367635118438
"Generador Industrial";"SOC COMERCIAL DEGRAF LIMITADA";178,79;7,88955766583119
"Generador Industrial";"COMPANIA AGROPECUARIA COPEVAL S A";138,9;6,12931125781057
"Generador Industrial";"NESTLE CHILE SA";126,15;5,56668549440463
"Generador Industrial";"CMPC TISSUE S A";42,18;1,86129840787941
"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";31,61;1,39487061813817
"Generador Industrial";"ECOMAULE S A";20,78;0,91696967557454
"Generador Industrial";"COAGRA S A";20,44;0,901966321883715
"Generador Industrial";"MARTINEZ Y VALDIVIESO S.A.";15,62;0,689271719560843
"Generador Industrial";"LABORATORIO DURANDIN S A I";13,8;0,608959649804074
"Generador Industrial";"EMBOTELLADORA ANDINA S A";11,3;0,498640872665655
"Generador Industrial";"TRANSPORTES CCU LTDA";11,17;0,492904296254457
"Municipio";"MUNICIPALIDAD";11,07;34,5721424109931
"Municipio";"MUNICIPALIDAD";9,72;30,3560274828232
"Generador Industrial";"TRANSLOGIC SOCIEDAD ANONIMA";8,66;0,382144244007484
"Generador Industrial";"LABORATORIO DURANDIN SA";7,05;0,311098951530342
"Generador Industrial";"RAFAEL REYES Y CIA LTDA";4,67;0,206075475694567
"Generador Industrial";"POLYGAL SUD S.A.";4,15;0,183129170049776
"Generador Industrial";"BANCO CENTRAL DE CHILE";3,92;0,172979842553041
"Generador Industrial";"LABORATORIO BAGO DE CHILE S A";3,33;0,146944611148374
"Generador Industrial";"AGROINDUSTRIAS QUILACO S A";3,22;0,142090584954284
"Generador Industrial";NA;2,98;0,131499982348996
"Generador Industrial";"VEYANCE TECHNOLOGIES CHILE LIMITADA";2,67;0,117820453983832
"Generador Industrial";"UNILEVER CHILE SCC LIMITADA";2,64;0,116496628658171
"Generador Industrial";"GLAXOSMITHKLINE CHILE FARMACEUTICA LIMITADA";2,08;0,0917852225791648
"Municipio";"MUNICIPALIDAD";1,73;5,40287320424734
"Municipio";"MUNICIPALIDAD";1,66;5,1842598376015
"Municipio";"MUNICIPALIDAD";1,63;5,09056839475328
"Generador Industrial";"FEROSOR AGRICOLA S A";1,5;0,0661912662830515
"Municipio";"MUNICIPALIDAD";1,48;4,62211118051218
"Generador Industrial";"WATT'S  S.A.";1,38;0,0608959649804074
"Municipio";"MUNICIPALIDAD";1,22;3,81011867582761
"Municipio";"MUNICIPALIDAD";1,17;3,65396627108057
"Municipio";"MUNICIPALIDAD";1,06;3,3104309806371
"Generador Industrial";"MADESA S.A.";0,92;0,0405973099869383
"Generador Industrial";"L OREAL CHILE S A";0,9;0,0397147597698309
"Municipio";"MUNICIPALIDAD";0,78;2,43597751405372
"Generador Industrial";"LABORATORIOS RECALCINE SA";0,59;0,0260352314046669
"Municipio";"MUNICIPALIDAD";0,5;1,56152404747033
"Generador Industrial";"AMCOR FLEXIBLES CHILE LIMITADA";0,42;0,0185335545592544
"Generador Industrial";"EMPRESAS CAROZZS A";0,23;0,0101493274967346
"Generador Industrial";"INVERSIONES DEL PACIFICO LIMITADA";0,22;0,00970805238818089
"Generador Industrial";"SOC AGRICOLA LA ISLITA LTDA";0,17;0,00750167684541251
